Period,Application_ID,Cost,Source,Source_Item
2019-02,INSIGHTSRE,147.0,Swisscom,Enterprise Service Cloud Platinum Basic vCPU units
2019-07,PYTHIA,2.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-07,DSC,10.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-08,SAMS,1.0,Swisscom,Enterprise Service Cloud Platinum Basic ECO Storage units
2019-08,PYTHIA,32.0,Swisscom,Enterprise Service Cloud Platinum Basic UltraFast Storage units
2019-09,INSIGHTSRE,20.0,Swisscom,Application Cloud Dynamic Storage (S3) units
2019-04,DATAROBOT,5.0,Swisscom,Enterprise Service Cloud Platinum Standard vCPU units
2019-02,DOCSEARCH,1191.0,Group Technology Management,Oracle Database GB Allocated
2019-05,PYTHIA,1127.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-05,DSW,7404.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-03,SISLAB,4560.0,Group Technology Management,Server Storage HNAS - on premise
2019-01,GEORE1,0.0,Azure,Functions - Execution Time
2019-06,SISLAB,1.0,Azure,Files - LRS Data Stored
2019-03,GEORE1,0.0,Azure,Bandwidth - Data Transfer In - Zone 1
2019-04,SISLAB,58.0,Azure,Standard HDD Managed Disks - S6 - Disks - EU West
2019-06,GEORE1,290.0,Azure,Azure Database for PostgreSQL General Purpose - Compute Gen5 - vCore - EU West
2019-09,SISLAB,0.0,Azure,IP Addresses - Basic - Static Public IP
